   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      2140   9.0767712             64   418.32225     -654.63623      9.0767712      9.0767712      9.0767712      199238.59      207717.44      177946.75      212051.58    
      2150   9.0767793             64   391.19169     -654.41608      9.0767793      9.0767793      9.0767793      202871.57      211063.12      183293.65      214257.94    
      2160   9.0767874             64   500.52122     -655.31367      9.0767874      9.0767874      9.0767874      184918.39      188467.09      175911.42      190376.65    
      2170   9.0767956             64   444.37043     -654.8606       9.0767956      9.0767956      9.0767956      184768.83      192143.21      178959.18      183204.1     
      2180   9.0768038             64   440.8223      -654.81897      9.0768038      9.0768038      9.0768038      197289.4       203631.38      191876.84      196359.99    
      2190   9.0768121             64   477.63668     -655.1061       9.0768121      9.0768121      9.0768121      193710.95      206286.18      182983.03      191863.66    
      2200   9.0768205             64   537.34692     -655.59935      9.0768205      9.0768205      9.0768205      184936.38      196963.42      176113.36      181732.37    
      2210   9.0768288             64   523.45783     -655.47796      9.0768288      9.0768288      9.0768288      196584.13      205699.09      186210.39      197842.93    
      2220   9.0768373             64   596.202       -656.08469      9.0768373      9.0768373      9.0768373      205943.7       215598.35      189550.53      212682.21    
      2230   9.0768458             64   548.77482     -655.74497      9.0768458      9.0768458      9.0768458      222277.49      226978.16      206307.91      233546.38    
      2240   9.0768543             64   543.05533     -655.68933      9.0768543      9.0768543      9.0768543      222231.17      224148.06      209708.77      232836.68    
