   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
     12400   9.2393745             64   305.15294     -469.80487      9.2393745      9.2393745      9.2393745      78.715874      2353.7712      2299.4998     -4417.1234    
     12500   9.2393651             64   314.80139     -469.52462      9.2393651      9.2393651      9.2393651     -118.22204      861.59265      2091.1119     -3307.3707    
     12600   9.2393558             64   347.97373     -469.96114      9.2393558      9.2393558      9.2393558     -1970.4332      939.59091     -1794.8564     -5056.034     
     12700   9.2393464             64   281.03679     -470.07204      9.2393464      9.2393464      9.2393464     -2074.8175     -395.75078     -1546.1209     -4282.5809    
     12800   9.2393369             64   311.1874      -470.52016      9.2393369      9.2393369      9.2393369     -4519.2852     -2537.8342     -3594.0305     -7425.991     
     12900   9.2393274             64   324.53018     -470.57733      9.2393274      9.2393274      9.2393274     -3832.0578     -4674.2726     -1219.2292     -5602.6716    
     13000   9.2393177             64   395.28273     -470.77675      9.2393177      9.2393177      9.2393177     -2606.0508     -1182.6741     -1435.826      -5199.6522    
     13100   9.2393081             64   317.63407     -469.71027      9.2393081      9.2393081      9.2393081     -432.66045      236.64442      69.917392     -1604.5432    
     13200   9.2392984             64   380.3446      -470.17121      9.2392984      9.2392984      9.2392984     -2487.6972     -1254.2944     -2407.2721     -3801.5253    
     13300   9.2392886             64   340.51911     -470.62952      9.2392886      9.2392886      9.2392886     -2735.3828     -3761.3404      2124.5599     -6569.3678    
     13400   9.2392788             64   269.9432      -470.2871       9.2392788      9.2392788      9.2392788     -5045.2735     -3616.7164     -6878.2712     -4640.8331    
     13500   9.2392689             64   305.48248     -470.40027      9.2392689      9.2392689      9.2392689     -3372.4344     -1844.6139     -1641.2607     -6631.4286    
     13600   9.239259              64   358.20261     -470.43657      9.239259       9.239259       9.239259      -2284.2249     -1963.9372     -1159.8483     -3728.8892    
     13700   9.2392489             64   288.88074     -469.62676      9.2392489      9.2392489      9.2392489     -2321.4641     -2583.4674     -1019.7477     -3361.1774    
     13800   9.2392389             64   339.88787     -470.32527      9.2392389      9.2392389      9.2392389     -2118.8013     -302.69253     -2434.5041     -3619.2074    
     13900   9.2392288             64   317.22043     -470.74023      9.2392288      9.2392288      9.2392288     -2900.6652     -653.63661     -1077.2082     -6971.1507    
     14000   9.2392186             64   258.46996     -470.32578      9.2392186      9.2392186      9.2392186     -4348.8093     -4212.6832     -2697.667      -6136.0778    
     14100   9.2392083             64   323.2515      -470.43919      9.2392083      9.2392083      9.2392083     -2496.8509      1338.5578     -4876.0351     -3953.0754    
     14200   9.239198              64   315.87139     -470.04007      9.239198       9.239198       9.239198      -1315.3796     -2334.3352      777.28084     -2389.0843    
     14300   9.2391876             64   285.54191     -469.84198      9.2391876      9.2391876      9.2391876     -2511.6811      330.3942      -3570.3167     -4295.1209    
     14400   9.2391772             64   337.52644     -470.41327      9.2391772      9.2391772      9.2391772     -2090.0021     -1885.2818     -2028.4197     -2356.3048    
     14500   9.2391667             64   311.29803     -470.28522      9.2391667      9.2391667      9.2391667     -1834.5158      376.49211     -2466.7824     -3413.2571    
     14600   9.2391561             64   258.9538      -469.94103      9.2391561      9.2391561      9.2391561     -1867.6808     -3069.6551      565.1869      -3098.5743    
     14700   9.2391455             64   288.04383     -470.17573      9.2391455      9.2391455      9.2391455     -2452.9751     -4971.5623      209.77549     -2597.1385    
     14800   9.2391348             64   279.91212     -470.20041      9.2391348      9.2391348      9.2391348     -2884.3577     -2411.0783     -2457.3863     -3784.6084    
     14900   9.239124              64   262.69461     -470.20588      9.239124       9.239124       9.239124      -3341.0846     -3900.2172     -1996.2602     -4126.7763    
     15000   9.2391132             64   320.12347     -470.55473      9.2391132      9.2391132      9.2391132     -3092.6132     -4143.1019     -493.0257      -4641.7119    
     15100   9.2391023             64   305.30197     -470.10632      9.2391023      9.2391023      9.2391023     -1387.7802     -1365.8394     -1120.4597     -1677.0415    
     15200   9.2390913             64   314.08454     -469.86836      9.2390913      9.2390913      9.2390913     -1236.5053     -586.68659     -57.43775      -3065.3916    
     15300   9.2390803             64   336.25042     -470.13897      9.2390803      9.2390803      9.2390803     -1150.4061     -4395.1321      2036.0912     -1092.1775    
     15400   9.2390692             64   311.93148     -470.61393      9.2390692      9.2390692      9.2390692     -3250.0435     -2453.1128     -2844.598      -4452.4195    
     15500   9.2390581             64   294.63528     -470.62345      9.2390581      9.2390581      9.2390581     -4573.8601     -3367.363      -6436.1887     -3918.0285    
     15600   9.2390469             64   288.49857     -470.27685      9.2390469      9.2390469      9.2390469     -2402.9426     -2406.2656     -2648.0395     -2154.5227    
     15700   9.2390356             64   307.50541     -470.02668      9.2390356      9.2390356      9.2390356     -1466.964      -3204.389       832.14423     -2028.6472    
     15800   9.2390242             64   296.17387     -469.82589      9.2390242      9.2390242      9.2390242     -1751.54        603.44722     -4269.1412     -1588.9262    
     15900   9.2390128             64   326.58259     -470.16604      9.2390128      9.2390128      9.2390128      32.022343      1601.4354      854.112       -2359.4804    
     16000   9.2390014             64   309.85235     -470.22979      9.2390014      9.2390014      9.2390014     -2402.5713     -2876.7277     -1034.1781     -3296.8082    
     16100   9.2389899             64   295.63086     -470.32494      9.2389899      9.2389899      9.2389899     -2528.7056     -776.82355     -2211.4112     -4597.882     
     16200   9.2389783             64   299.18821     -470.54306      9.2389783      9.2389783      9.2389783     -1968.2348      185.60018     -1083.5653     -5006.7394    
     16300   9.2389667             64   259.82106     -470.41994      9.2389667      9.2389667      9.2389667     -3356.836      -4387.1599     -3053.1685     -2630.1795    
     16400   9.238955              64   295.49402     -470.5597       9.238955       9.238955       9.238955      -3669.2134     -3382.9819     -4026.5812     -3598.077     
     16500   9.2389431             64   332.55003     -470.31386      9.2389431      9.2389431      9.2389431     -2201.1423      278.87163     -2581.5832     -4300.7154    
     16600   9.2389313             64   318.49073     -470.00804      9.2389313      9.2389313      9.2389313     -2157.9804     -1479.4126     -1900.7971     -3093.7314    
     16700   9.2389194             64   285.50885     -469.89565      9.2389194      9.2389194      9.2389194     -2056.6971     -2684.8746     -506.42459     -2978.7922    
     16800   9.2389074             64   266.57658     -470.27661      9.2389074      9.2389074      9.2389074     -3597.5764     -2534.2446     -2586.8031     -5671.6815    
     16900   9.2388953             64   240.10886     -470.28483      9.2388953      9.2388953      9.2388953     -3273.1651     -4034.0734     -2180.503      -3604.9189    
     17000   9.2388832             64   291.52534     -470.54399      9.2388832      9.2388832      9.2388832     -3225.2492     -3874.9252     -2523.8137     -3277.0086    
     17100   9.238871              64   293.69955     -470.32239      9.238871       9.238871       9.238871      -2413.2884     -3549.1415     -1812.4797     -1878.2441    
     17200   9.2388587             64   327.22316     -470.31776      9.2388587      9.2388587      9.2388587     -2580.0606     -3786.192      -2431.7455     -1522.2443    
     17300   9.2388464             64   368.77396     -470.42928      9.2388464      9.2388464      9.2388464     -2005.6813     -4830.0682     -1604.711       417.73524    
     17400   9.238834              64   354.48232     -470.40964      9.238834       9.238834       9.238834      -2423.457      -3176.3207     -1154.0075     -2940.0429    
     17500   9.2388216             64   274.9289      -470.34841      9.2388216      9.2388216      9.2388216     -2953.892      -497.48468     -4909.6288     -3454.5624    
     17600   9.2388091             64   280.39835     -470.5652       9.2388091      9.2388091      9.2388091     -3217.7348     -4757.9015     -2216.121      -2679.1819    
     17700   9.2387965             64   317.65097     -470.59742      9.2387965      9.2387965      9.2387965     -3097.0845     -193.98759     -3565.1799     -5532.0861    
     17800   9.2387838             64   276.56866     -469.78517      9.2387838      9.2387838      9.2387838     -1421.1972      616.54644     -1318.4152     -3561.7227    
     17900   9.2387711             64   338.87691     -470.23538      9.2387711      9.2387711      9.2387711     -1594.3016      62.20784      -2310.1611     -2534.9517    
     18000   9.2387584             64   298.30643     -470.09689      9.2387584      9.2387584      9.2387584     -1705.3705     -853.52313     -1910.5454     -2352.043     
     18100   9.2387456             64   299.28103     -470.33252      9.2387456      9.2387456      9.2387456     -2101.2521     -303.33813     -3516.1285     -2484.2895    
     18200   9.2387328             64   331.1981      -470.68037      9.2387328      9.2387328      9.2387328     -2057.2505     -199.67774     -3913.4151     -2058.6588    
     18300   9.2387198             64   278.94589     -470.40132      9.2387198      9.2387198      9.2387198     -2998.3502     -1483.1431     -5345.7313     -2166.1762    
     18400   9.2387068             64   304.5336      -470.59404      9.2387068      9.2387068      9.2387068     -2936.6494      113.28511     -5731.4602     -3191.7731    
     18500   9.2386938             64   310.64756     -470.31131      9.2386938      9.2386938      9.2386938     -1084.4276     -1319.9393     -3209.7991      1276.4555    
     18600   9.2386807             64   287.71035     -469.79052      9.2386807      9.2386807      9.2386807     -739.83427      319.54749     -3868.7371      1329.6868    
     18700   9.2386675             64   259.62801     -469.50597      9.2386675      9.2386675      9.2386675     -892.49844     -4005.4099     -1077.5401      2405.4547    
     18800   9.2386543             64   285.68238     -470.17133      9.2386543      9.2386543      9.2386543     -1951.1715     -4090.9337     -1290.8056     -471.77522    
     18900   9.2386411             64   237.46759     -470.22528      9.2386411      9.2386411      9.2386411     -2643.1938     -5594.1354     -3345.7495      1010.3036    
     19000   9.2386277             64   258.80056     -470.28364      9.2386277      9.2386277      9.2386277     -2626.6851     -4089.6489     -2649.887      -1140.5195    
     19100   9.2386143             64   290.95567     -470.23262      9.2386143      9.2386143      9.2386143     -2152.5278     -2663.3013     -1693.3617     -2100.9202    
     19200   9.2386009             64   311.77957     -470.20775      9.2386009      9.2386009      9.2386009     -1779.9053     -935.73776     -2404.3998     -1999.5784    
     19300   9.2385874             64   336.0629      -470.37156      9.2385874      9.2385874      9.2385874     -3005.212      -2370.1759     -3167.0429     -3478.4172    
     19400   9.2385738             64   293.14947     -470.08391      9.2385738      9.2385738      9.2385738     -1744.9635     -3896.687       255.30488     -1593.5084    
     19500   9.2385602             64   270.87911     -469.9756       9.2385602      9.2385602      9.2385602     -1577.5035     -1502.1116     -1453.7249     -1776.674     
     19600   9.2385465             64   277.55082     -470.06055      9.2385465      9.2385465      9.2385465     -2864.02       -1472.4259     -2331.0072     -4788.6269    
     19700   9.2385328             64   288.55034     -470.1388       9.2385328      9.2385328      9.2385328     -2412.6019     -2251.4824     -654.22517     -4332.098     
     19800   9.238519              64   269.37609     -469.9776       9.238519       9.238519       9.238519      -2117.9097      224.99802     -2345.7205     -4233.0066    
     19900   9.2385052             64   281.98337     -470.13448      9.2385052      9.2385052      9.2385052     -2415.2305     -2525.8489     -1117.4159     -3602.4265    
